input_dict,ground_truth,natural question,natural answer
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: word sense disambiguation","vector representations
structured learning
word distributions
word embedding
word embedding variations
word sense disambiguation","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",vector representations;structured learning;word distributions;word embedding;word embedding variations;word sense disambiguation
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: knowledge representation","linguistics basics
knowledge representation","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of knowledge representation, what concept path should I follow?",linguistics basics;knowledge representation
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: semi-supervised learning","machine learning resources
semi-supervised learning","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of semi-supervised learning, what concept path should I follow?",machine learning resources;semi-supervised learning
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: computational phonology","linguistics basics
computational phonology","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of computational phonology, what concept path should I follow?",linguistics basics;computational phonology
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: word embedding variations","machine learning resources
word embedding
word embedding variations","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of word embedding variations, what concept path should I follow?",machine learning resources;word embedding;word embedding variations
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: multilingual word embedding","linguistics basics
word embedding
word embedding variations
multilingual word embedding","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",linguistics basics;word embedding;word embedding variations;multilingual word embedding
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: edit distance","natural language processing intro
edit distance","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of edit distance, what concept path should I follow?",natural language processing intro;edit distance
"domain_1: Natural Language Processing
concept_1: evaluation of language modeling
concept_2: text generation","evaluation of language modeling
text generation","In the domain of Natural Language Processing, I know about the concept of evaluation of language modeling, now I want to learn about the concept of text generation, what concept path should I follow?",evaluation of language modeling;text generation
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: memory networks","optimization
memory networks","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of memory networks, what concept path should I follow?",optimization;memory networks
"domain_1: Natural Language Processing
concept_1: summarization evaluation
concept_2: scientific article summarization","summarization evaluation
scientific article summarization","In the domain of Natural Language Processing, I know about the concept of summarization evaluation, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",summarization evaluation;scientific article summarization
"domain_1: Natural Language Processing
concept_1: latent variable models
concept_2: expectation maximization algorithm","latent variable models
expectation maximization algorithm","In the domain of Natural Language Processing, I know about the concept of latent variable models, now I want to learn about the concept of expectation maximization algorithm, what concept path should I follow?",latent variable models;expectation maximization algorithm
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: Meta-Learning","loss function
machine learning resources
Meta-Learning","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of Meta-Learning, what concept path should I follow?",loss function;machine learning resources;Meta-Learning
"domain_1: Natural Language Processing
concept_1: information retrieval
concept_2: document ranking","information retrieval
document ranking","In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of document ranking, what concept path should I follow?",information retrieval;document ranking
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: feature selection","natural language processing intro
feature selection","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of feature selection, what concept path should I follow?",natural language processing intro;feature selection
"domain_1: Natural Language Processing
concept_1: part of speech tagging
concept_2: course introduction","part of speech tagging
course introduction","In the domain of Natural Language Processing, I know about the concept of part of speech tagging, now I want to learn about the concept of course introduction, what concept path should I follow?",part of speech tagging;course introduction
"domain_1: Natural Language Processing
concept_1: bayes theorem
concept_2: Visual QA","bayes theorem
question answering
Visual QA","In the domain of Natural Language Processing, I know about the concept of bayes theorem, now I want to learn about the concept of Visual QA, what concept path should I follow?",bayes theorem;question answering;Visual QA
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: sentiment analysis","loss function
classification
sentiment analysis","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of sentiment analysis, what concept path should I follow?",loss function;classification;sentiment analysis
"domain_1: Natural Language Processing
concept_1: backpropagation
concept_2: pointer networks","backpropagation
neural networks
training neural networks
pointer networks","In the domain of Natural Language Processing, I know about the concept of backpropagation, now I want to learn about the concept of pointer networks, what concept path should I follow?",backpropagation;neural networks;training neural networks;pointer networks
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: thesaurus-based similarity","vector representations
structured learning
vector semantics
semantic similarity
thesaurus-based similarity","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of thesaurus-based similarity, what concept path should I follow?",vector representations;structured learning;vector semantics;semantic similarity;thesaurus-based similarity
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: word embedding","loss function
machine learning resources
word embedding","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of word embedding, what concept path should I follow?",loss function;machine learning resources;word embedding
"domain_1: Natural Language Processing
concept_1: syntax
concept_2: transition based dependency parsing","syntax
shift-reduce parsing
transition based dependency parsing","In the domain of Natural Language Processing, I know about the concept of syntax, now I want to learn about the concept of transition based dependency parsing, what concept path should I follow?",syntax;shift-reduce parsing;transition based dependency parsing
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: scientific article summarization","natural language processing intro
vector representations
structured learning
sentence representations
text summarization
neural summarization
scientific article summarization","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",natural language processing intro;vector representations;structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: thesaurus-based similarity","natural language processing intro
vector representations
structured learning
vector semantics
semantic similarity
thesaurus-based similarity","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of thesaurus-based similarity, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;semantic similarity;thesaurus-based similarity
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: game playing in ai","optimization
machine learning resources
game playing in ai","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of game playing in ai, what concept path should I follow?",optimization;machine learning resources;game playing in ai
"domain_1: Natural Language Processing
concept_1: parsing
concept_2: dependency parsing","parsing
dependency parsing","In the domain of Natural Language Processing, I know about the concept of parsing, now I want to learn about the concept of dependency parsing, what concept path should I follow?",parsing;dependency parsing
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: kernels","word distributions
vector representations
structured learning
vector semantics
kernels","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of kernels, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;kernels
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: social network extraction","n-gram models
word distributions
vector representations
structured learning
sentence representations
information extraction
social network extraction","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of social network extraction, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;information extraction;social network extraction
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: log-linear models","machine learning resources
log-linear models","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of log-linear models, what concept path should I follow?",machine learning resources;log-linear models
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: sentence simplification","n-gram models
word distributions
vector representations
structured learning
sentence representations
sentence simplification","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of sentence simplification, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;sentence simplification
"domain_1: Natural Language Processing
concept_1: sentence representations
concept_2: document representation","sentence representations
document representation","In the domain of Natural Language Processing, I know about the concept of sentence representations, now I want to learn about the concept of document representation, what concept path should I follow?",sentence representations;document representation
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: evaluation of language modeling","probabilities
structured learning
word distributions
language modeling
evaluation of language modeling","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of evaluation of language modeling, what concept path should I follow?",probabilities;structured learning;word distributions;language modeling;evaluation of language modeling
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: structured learning","vector representations
structured learning","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of structured learning, what concept path should I follow?",vector representations;structured learning
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: scientific article summarization","n-gram models
word distributions
vector representations
structured learning
sentence representations
text summarization
neural summarization
scientific article summarization","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: linear discriminant analysis","loss function
machine learning resources
linear discriminant analysis","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of linear discriminant analysis, what concept path should I follow?",loss function;machine learning resources;linear discriminant analysis
"domain_1: Natural Language Processing
concept_1: structured learning
concept_2: text mining","structured learning
word distributions
vector representations
text mining","In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of text mining, what concept path should I follow?",structured learning;word distributions;vector representations;text mining
"domain_1: Natural Language Processing
concept_1: latent variable models
concept_2: expectation maximization algorithm","latent variable models
expectation maximization algorithm","In the domain of Natural Language Processing, I know about the concept of latent variable models, now I want to learn about the concept of expectation maximization algorithm, what concept path should I follow?",latent variable models;expectation maximization algorithm
"domain_1: Natural Language Processing
concept_1: bilingual word embeddings
concept_2: unsupervised machine translation","bilingual word embeddings
monolingual word embeddings
unsupervised machine translation","In the domain of Natural Language Processing, I know about the concept of bilingual word embeddings, now I want to learn about the concept of unsupervised machine translation, what concept path should I follow?",bilingual word embeddings;monolingual word embeddings;unsupervised machine translation
"domain_1: Natural Language Processing
concept_1: recurrent neural networks
concept_2: neural turing machine","recurrent neural networks
neural turing machine","In the domain of Natural Language Processing, I know about the concept of recurrent neural networks, now I want to learn about the concept of neural turing machine, what concept path should I follow?",recurrent neural networks;neural turing machine
"domain_1: Natural Language Processing
concept_1: semantic similarity
concept_2: thesaurus-based similarity","semantic similarity
thesaurus-based similarity","In the domain of Natural Language Processing, I know about the concept of semantic similarity, now I want to learn about the concept of thesaurus-based similarity, what concept path should I follow?",semantic similarity;thesaurus-based similarity
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: information extraction","word distributions
vector representations
structured learning
sentence representations
information extraction","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of information extraction, what concept path should I follow?",word distributions;vector representations;structured learning;sentence representations;information extraction
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: topic modeling","n-gram models
word distributions
topic modeling","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of topic modeling, what concept path should I follow?",n-gram models;word distributions;topic modeling
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: computation theory","linguistics basics
chomsky hierarchy
computation theory","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of computation theory, what concept path should I follow?",linguistics basics;chomsky hierarchy;computation theory
"domain_1: Natural Language Processing
concept_1: speech signal analysis
concept_2: speech synthesis","speech signal analysis
speech processing
speech synthesis","In the domain of Natural Language Processing, I know about the concept of speech signal analysis, now I want to learn about the concept of speech synthesis, what concept path should I follow?",speech signal analysis;speech processing;speech synthesis
"domain_1: Natural Language Processing
concept_1: syntax
concept_2: penn treebank","syntax
penn treebank","In the domain of Natural Language Processing, I know about the concept of syntax, now I want to learn about the concept of penn treebank, what concept path should I follow?",syntax;penn treebank
"domain_1: Natural Language Processing
concept_1: neural networks
concept_2: convolutional neural networks","neural networks
convolutional neural networks","In the domain of Natural Language Processing, I know about the concept of neural networks, now I want to learn about the concept of convolutional neural networks, what concept path should I follow?",neural networks;convolutional neural networks
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: word sense disambiguation","word distributions
vector representations
structured learning
vector semantics
semantic similarity
word sense disambiguation","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;semantic similarity;word sense disambiguation
"domain_1: Natural Language Processing
concept_1: deep learning introduction
concept_2: neural machine translation","deep learning introduction
neural machine translation","In the domain of Natural Language Processing, I know about the concept of deep learning introduction, now I want to learn about the concept of neural machine translation, what concept path should I follow?",deep learning introduction;neural machine translation
"domain_1: Natural Language Processing
concept_1: reinforcement learning
concept_2: robotic locomotion","reinforcement learning
robotics
robotic locomotion","In the domain of Natural Language Processing, I know about the concept of reinforcement learning, now I want to learn about the concept of robotic locomotion, what concept path should I follow?",reinforcement learning;robotics;robotic locomotion
"domain_1: Natural Language Processing
concept_1: text summarization
concept_2: neural summarization","text summarization
neural summarization","In the domain of Natural Language Processing, I know about the concept of text summarization, now I want to learn about the concept of neural summarization, what concept path should I follow?",text summarization;neural summarization
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: text mining","n-gram models
word distributions
vector representations
structured learning
sentence representations
text mining","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of text mining, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;text mining
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: kernels","natural language processing intro
vector representations
structured learning
vector semantics
kernels","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of kernels, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;kernels
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: vector representations","natural language processing intro
vector representations","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of vector representations, what concept path should I follow?",natural language processing intro;vector representations
"domain_1: Natural Language Processing
concept_1: random walks and harmonic functions
concept_2: recursive neural networks","random walks and harmonic functions
semi-supervised learning
neural networks
training neural networks
recursive neural networks","In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",random walks and harmonic functions;semi-supervised learning;neural networks;training neural networks;recursive neural networks
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: word embedding variations","word distributions
vector representations
structured learning
vector semantics
word embedding
word embedding variations","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of word embedding variations, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;word embedding;word embedding variations
"domain_1: Natural Language Processing
concept_1: backpropagation
concept_2: convolutional neural networks","backpropagation
neural networks
convolutional neural networks","In the domain of Natural Language Processing, I know about the concept of backpropagation, now I want to learn about the concept of convolutional neural networks, what concept path should I follow?",backpropagation;neural networks;convolutional neural networks
"domain_1: Natural Language Processing
concept_1: multi-agent systems
concept_2: game playing in ai","multi-agent systems
game playing in ai","In the domain of Natural Language Processing, I know about the concept of multi-agent systems, now I want to learn about the concept of game playing in ai, what concept path should I follow?",multi-agent systems;game playing in ai
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: sentiment analysis","word distributions
vector representations
structured learning
sentence representations
sentiment analysis","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of sentiment analysis, what concept path should I follow?",word distributions;vector representations;structured learning;sentence representations;sentiment analysis
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: syntaxnet","linguistics basics
word embedding
syntaxnet","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of syntaxnet, what concept path should I follow?",linguistics basics;word embedding;syntaxnet
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: word segmentation","natural language processing intro
word segmentation","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of word segmentation, what concept path should I follow?",natural language processing intro;word segmentation
"domain_1: Natural Language Processing
concept_1: morphology and lexicon
concept_2: query expansion","morphology and lexicon
query expansion","In the domain of Natural Language Processing, I know about the concept of morphology and lexicon, now I want to learn about the concept of query expansion, what concept path should I follow?",morphology and lexicon;query expansion
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: text generation","natural language processing intro
vector representations
structured learning
word distributions
language modeling
evaluation of language modeling
text generation","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of text generation, what concept path should I follow?",natural language processing intro;vector representations;structured learning;word distributions;language modeling;evaluation of language modeling;text generation
"domain_1: Natural Language Processing
concept_1: word embedding
concept_2: multilingual word embedding","word embedding
word embedding variations
multilingual word embedding","In the domain of Natural Language Processing, I know about the concept of word embedding, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",word embedding;word embedding variations;multilingual word embedding
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: expectation maximization algorithm","loss function
latent variable models
expectation maximization algorithm","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of expectation maximization algorithm, what concept path should I follow?",loss function;latent variable models;expectation maximization algorithm
"domain_1: Natural Language Processing
concept_1: classification
concept_2: sentiment analysis","classification
sentiment analysis","In the domain of Natural Language Processing, I know about the concept of classification, now I want to learn about the concept of sentiment analysis, what concept path should I follow?",classification;sentiment analysis
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: social media analysis","probabilities
structured learning
sentence representations
sentiment analysis
social media analysis","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of social media analysis, what concept path should I follow?",probabilities;structured learning;sentence representations;sentiment analysis;social media analysis
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: context free grammars","n-gram models
word distributions
vector representations
structured learning
vector semantics
context free grammars","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of context free grammars, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;vector semantics;context free grammars
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: spectral clustering","machine learning resources
random walks and harmonic functions
Unsupervised learning
spectral clustering","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of spectral clustering, what concept path should I follow?",machine learning resources;random walks and harmonic functions;Unsupervised learning;spectral clustering
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: information extraction","word distributions
vector representations
structured learning
sentence representations
information extraction","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of information extraction, what concept path should I follow?",word distributions;vector representations;structured learning;sentence representations;information extraction
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: text generation","vector representations
structured learning
word distributions
language modeling
evaluation of language modeling
text generation","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of text generation, what concept path should I follow?",vector representations;structured learning;word distributions;language modeling;evaluation of language modeling;text generation
"domain_1: Natural Language Processing
concept_1: sentence representations
concept_2: summarization evaluation","sentence representations
text summarization
summarization evaluation","In the domain of Natural Language Processing, I know about the concept of sentence representations, now I want to learn about the concept of summarization evaluation, what concept path should I follow?",sentence representations;text summarization;summarization evaluation
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: memory networks","loss function
machine learning resources
semi-supervised learning
neural networks
memory networks","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of memory networks, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;memory networks
"domain_1: Natural Language Processing
concept_1: structured learning
concept_2: text mining","structured learning
word distributions
vector representations
text mining","In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of text mining, what concept path should I follow?",structured learning;word distributions;vector representations;text mining
"domain_1: Natural Language Processing
concept_1: sentence representations
concept_2: summarization evaluation","sentence representations
text summarization
summarization evaluation","In the domain of Natural Language Processing, I know about the concept of sentence representations, now I want to learn about the concept of summarization evaluation, what concept path should I follow?",sentence representations;text summarization;summarization evaluation
"domain_1: Natural Language Processing
concept_1: wordnet
concept_2: lexical semantics","wordnet
lexical semantics","In the domain of Natural Language Processing, I know about the concept of wordnet, now I want to learn about the concept of lexical semantics, what concept path should I follow?",wordnet;lexical semantics
"domain_1: Natural Language Processing
concept_1: Unsupervised learning
concept_2: tsne","Unsupervised learning
tsne","In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of tsne, what concept path should I follow?",Unsupervised learning;tsne
"domain_1: Natural Language Processing
concept_1: transferring NMT model
concept_2: multilingual model","transferring NMT model
multilingual model","In the domain of Natural Language Processing, I know about the concept of transferring NMT model, now I want to learn about the concept of multilingual model, what concept path should I follow?",transferring NMT model;multilingual model
"domain_1: Natural Language Processing
concept_1: information retrieval
concept_2: query expansion","information retrieval
toolkits for information retrieval
query expansion","In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of query expansion, what concept path should I follow?",information retrieval;toolkits for information retrieval;query expansion
